# SHERLOC detector known-noisy channel annotation table
#
# Curated list of detector CCD channels flagged as known-noisy for the
# analyst-visible badpix annotation layer (issue #9). This is an ANNOTATION
# asset only: it never masks, replaces, or alters spectral values.
#
# Full rebuild 2026-06-17 on a DARK-PLANE veto (all regions). The prior
# epsilon=(active-dark) rate criterion was inverted: it flagged active-only REAL
# Raman/fluorescence bands (e.g. the sulfate nu1 channels 129/130/131 and the
# carbonate nu1 apex 137) and missed true RTS defects whose active~dark
# excursions cancel in epsilon. A genuine defect must fire with the laser OFF;
# a spectral band cannot. tier-1 = dark |z|>4 rate >= max(0.5%, 6x region
# median) over 177,067 frames. JB25-attested channels preserved (external
# authority; stable hot pixels are dark-LEVEL, not RTS-rate).
#   Cross-ref: Jakubek et al. 2025, Appl. Spectrosc. 79(6), 904-918,
#   doi:10.1177/00037028241280081.
#
# Tier semantics:
#   tier 1 = dark-plane-confirmed flickering/RTS defect (CR-confusable).
#   tier 2 = JB25 stable hot pixel, dark-quiet (epsilon-quiet); raw-plane only.
#
# Source attribution (column `source`):
#   dark_veto = dark-plane-confirmed defect (2026-06-17 rebuild)
#   jb25      = published mission bad-pixel table (Jakubek et al. 2025), dark-quiet
#   both      = dark-confirmed AND JB25-attested
#
# region = detector region (R1 Raman, R2/R3 fluorescence) the channel falls in.
# channel = absolute CCD channel index (0-based, 0..2147).
region,channel,tier,source
R1,193,1,dark_veto
R1,195,1,dark_veto
R1,196,1,dark_veto
R1,197,1,dark_veto
R1,200,1,dark_veto
R1,202,1,dark_veto
R1,204,1,dark_veto
R1,214,1,dark_veto
R1,215,1,dark_veto
R1,220,1,dark_veto
R1,222,1,dark_veto
R1,227,1,dark_veto
R1,230,1,dark_veto
R1,231,1,dark_veto
R1,233,1,dark_veto
R1,238,1,dark_veto
R1,240,1,dark_veto
R1,241,1,dark_veto
R1,254,1,dark_veto
R1,256,1,both
R1,262,1,dark_veto
R1,266,1,dark_veto
R1,271,1,dark_veto
R1,275,1,dark_veto
R1,277,1,dark_veto
R1,281,1,dark_veto
R1,283,1,dark_veto
R1,287,1,dark_veto
R1,292,1,dark_veto
R1,295,1,dark_veto
R1,299,1,dark_veto
R1,303,1,dark_veto
R1,308,1,dark_veto
R1,310,1,dark_veto
R1,314,1,dark_veto
R1,315,1,dark_veto
R1,320,1,dark_veto
R1,328,1,dark_veto
R1,330,1,dark_veto
R1,331,1,dark_veto
R1,334,1,dark_veto
R1,337,1,both
R1,338,1,dark_veto
R1,339,1,dark_veto
R1,342,1,dark_veto
R1,344,1,dark_veto
R1,348,1,dark_veto
R1,349,1,dark_veto
R1,351,1,dark_veto
R1,357,1,dark_veto
R1,361,1,both
R1,362,1,dark_veto
R1,364,1,dark_veto
R1,369,1,dark_veto
R1,373,1,both
R1,374,1,dark_veto
R1,376,1,dark_veto
R1,377,1,dark_veto
R1,380,1,dark_veto
R1,381,1,dark_veto
R1,390,1,dark_veto
R1,391,1,dark_veto
R1,393,2,jb25
R1,394,1,dark_veto
R1,395,1,dark_veto
R1,399,1,dark_veto
R1,400,1,dark_veto
R1,406,1,dark_veto
R1,412,1,dark_veto
R1,413,1,dark_veto
R1,416,1,dark_veto
R1,421,1,dark_veto
R1,426,1,both
R1,428,1,dark_veto
R1,435,1,dark_veto
R1,437,1,dark_veto
R1,441,1,dark_veto
R1,442,1,both
R1,443,1,dark_veto
R1,446,1,dark_veto
R1,449,1,dark_veto
R1,451,1,dark_veto
R1,454,1,dark_veto
R1,457,1,dark_veto
R1,459,1,dark_veto
R1,464,1,dark_veto
R1,466,1,dark_veto
R1,470,1,both
R1,473,1,both
R1,477,1,dark_veto
R1,478,1,dark_veto
R1,483,1,dark_veto
R1,493,1,dark_veto
R1,500,1,dark_veto
R1,501,1,dark_veto
R1,502,1,dark_veto
R1,503,1,dark_veto
R1,505,1,dark_veto
R1,508,1,dark_veto
R1,510,1,dark_veto
R1,515,1,dark_veto
R1,520,1,dark_veto
R1,521,1,dark_veto
R1,523,1,dark_veto
R1,527,1,dark_veto
R1,528,1,dark_veto
R1,534,1,dark_veto
R1,536,1,dark_veto
R1,537,1,dark_veto
R1,538,1,dark_veto
R1,539,1,dark_veto
R1,542,1,dark_veto
R1,543,1,dark_veto
R1,544,1,dark_veto
R1,551,1,dark_veto
R1,555,1,dark_veto
R1,556,1,dark_veto
R1,558,1,dark_veto
R1,562,1,dark_veto
R1,563,1,dark_veto
R1,564,1,dark_veto
R1,565,1,dark_veto
R2,578,1,dark_veto
R2,588,1,dark_veto
R2,590,1,dark_veto
R2,592,1,dark_veto
R2,593,1,dark_veto
R2,594,1,dark_veto
R2,596,1,dark_veto
R2,598,1,dark_veto
R2,602,1,dark_veto
R2,606,1,dark_veto
R2,607,1,dark_veto
R2,621,1,dark_veto
R2,622,1,dark_veto
R2,638,1,dark_veto
R2,640,2,jb25
R2,641,2,jb25
R2,648,1,dark_veto
R2,650,1,dark_veto
R2,652,1,dark_veto
R2,653,1,dark_veto
R2,657,1,dark_veto
R2,662,1,dark_veto
R2,667,1,dark_veto
R2,670,1,dark_veto
R2,672,1,dark_veto
R2,680,1,dark_veto
R2,689,1,both
R2,693,1,dark_veto
R2,697,1,dark_veto
R2,706,1,dark_veto
R2,713,1,dark_veto
R2,722,1,dark_veto
R2,723,1,dark_veto
R2,731,1,dark_veto
R2,735,1,dark_veto
R2,737,1,dark_veto
R2,742,1,dark_veto
R2,752,1,dark_veto
R2,755,1,dark_veto
R2,757,1,dark_veto
R2,761,1,dark_veto
R2,767,1,dark_veto
R2,768,1,dark_veto
R2,780,1,dark_veto
R2,789,1,dark_veto
R2,795,1,dark_veto
R2,800,1,dark_veto
R2,811,1,dark_veto
R2,821,1,dark_veto
R2,829,1,dark_veto
R2,833,1,dark_veto
R2,835,1,dark_veto
R2,839,1,dark_veto
R2,850,1,dark_veto
R2,853,1,dark_veto
R2,855,1,dark_veto
R2,859,1,dark_veto
R2,860,1,dark_veto
R2,861,1,dark_veto
R2,863,1,dark_veto
R2,880,1,dark_veto
R2,881,1,dark_veto
R2,883,1,dark_veto
R2,884,1,dark_veto
R2,890,1,dark_veto
R2,894,1,dark_veto
R2,900,1,dark_veto
R2,902,1,dark_veto
R2,906,1,dark_veto
R2,917,1,dark_veto
R2,921,1,dark_veto
R2,922,1,dark_veto
R2,929,1,dark_veto
R2,937,1,dark_veto
R2,941,1,dark_veto
R2,944,1,dark_veto
R2,956,1,dark_veto
R2,957,1,dark_veto
R2,961,1,dark_veto
R2,965,1,dark_veto
R2,968,1,dark_veto
R2,975,1,dark_veto
R2,984,1,dark_veto
R2,988,1,dark_veto
R2,991,1,dark_veto
R2,994,1,dark_veto
R2,995,2,jb25
R2,996,2,jb25
R2,998,1,dark_veto
R2,1004,1,dark_veto
R2,1009,1,dark_veto
R2,1010,1,dark_veto
R2,1022,1,dark_veto
R2,1026,1,dark_veto
R2,1027,1,dark_veto
R2,1032,1,dark_veto
R2,1036,1,dark_veto
R2,1039,1,dark_veto
R2,1040,1,dark_veto
R2,1044,1,dark_veto
R2,1052,1,dark_veto
R2,1054,1,dark_veto
R2,1057,1,dark_veto
R2,1065,1,dark_veto
R2,1070,1,both
R2,1074,1,dark_veto
R2,1076,1,dark_veto
R2,1084,1,dark_veto
R2,1085,1,dark_veto
R2,1088,1,dark_veto
R2,1096,1,dark_veto
R2,1097,1,dark_veto
R2,1098,1,dark_veto
R2,1106,1,both
R2,1108,1,dark_veto
R2,1110,1,dark_veto
R2,1112,1,dark_veto
R2,1118,1,dark_veto
R2,1123,1,dark_veto
R2,1129,1,dark_veto
R2,1133,1,both
R2,1134,1,both
R2,1138,1,dark_veto
R2,1143,1,dark_veto
R2,1145,1,dark_veto
R2,1147,1,dark_veto
R2,1149,1,dark_veto
R2,1159,1,dark_veto
R2,1160,1,dark_veto
R2,1179,1,dark_veto
R2,1181,1,dark_veto
R2,1186,1,dark_veto
R2,1188,1,dark_veto
R2,1199,1,dark_veto
R2,1201,1,dark_veto
R2,1203,1,dark_veto
R2,1208,1,dark_veto
R2,1213,1,dark_veto
R2,1222,1,dark_veto
R2,1240,1,dark_veto
R2,1246,1,dark_veto
R2,1250,1,dark_veto
R2,1251,1,dark_veto
R2,1258,1,dark_veto
R2,1274,1,dark_veto
R2,1276,1,dark_veto
R2,1278,1,dark_veto
R2,1281,1,dark_veto
R2,1294,1,dark_veto
R2,1297,1,dark_veto
R2,1298,1,dark_veto
R2,1306,1,dark_veto
R2,1308,1,dark_veto
R2,1312,1,dark_veto
R2,1313,1,dark_veto
R2,1329,1,dark_veto
R2,1330,1,both
R2,1337,1,dark_veto
R2,1343,1,dark_veto
R2,1344,1,dark_veto
R2,1345,1,dark_veto
R2,1353,1,dark_veto
R2,1358,1,dark_veto
R2,1359,1,dark_veto
R2,1361,1,dark_veto
R2,1368,1,dark_veto
R2,1380,1,dark_veto
R2,1383,1,dark_veto
R2,1389,1,dark_veto
R2,1390,1,dark_veto
R2,1392,1,dark_veto
R2,1395,1,dark_veto
R2,1402,1,dark_veto
R2,1404,1,dark_veto
R2,1413,1,dark_veto
R2,1423,1,dark_veto
R2,1426,1,dark_veto
R2,1446,1,dark_veto
R2,1452,1,dark_veto
R2,1456,2,jb25
R2,1457,1,dark_veto
R2,1466,1,dark_veto
R2,1468,1,dark_veto
R2,1476,1,dark_veto
R2,1496,1,dark_veto
R2,1498,1,dark_veto
R2,1505,2,jb25
R2,1506,1,both
R2,1508,1,dark_veto
R2,1514,1,dark_veto
R2,1523,1,dark_veto
R2,1535,1,dark_veto
R2,1540,1,dark_veto
R2,1544,1,dark_veto
R2,1549,1,dark_veto
R2,1552,1,dark_veto
R2,1557,1,dark_veto
R2,1561,1,dark_veto
R2,1569,1,dark_veto
R2,1570,1,dark_veto
R2,1585,1,dark_veto
R2,1590,1,dark_veto
R2,1596,1,dark_veto
R2,1598,1,dark_veto
R2,1604,1,dark_veto
R2,1607,1,dark_veto
R2,1614,1,dark_veto
R2,1615,2,jb25
R2,1616,1,dark_veto
R2,1617,1,dark_veto
R2,1618,1,dark_veto
R2,1619,1,dark_veto
R2,1620,1,dark_veto
R2,1628,1,dark_veto
R2,1634,1,dark_veto
R2,1638,1,dark_veto
R2,1640,1,dark_veto
R2,1645,1,dark_veto
R2,1646,1,dark_veto
R2,1647,1,dark_veto
R2,1649,1,dark_veto
R2,1651,2,jb25
R2,1658,1,dark_veto
R2,1659,1,dark_veto
R2,1660,1,dark_veto
R2,1661,1,dark_veto
R3,1678,1,dark_veto
R3,1690,1,dark_veto
R3,1691,1,dark_veto
R3,1693,1,dark_veto
R3,1701,1,dark_veto
R3,1704,1,dark_veto
R3,1705,1,dark_veto
R3,1706,1,dark_veto
R3,1707,1,dark_veto
R3,1709,1,dark_veto
R3,1715,1,dark_veto
R3,1716,1,dark_veto
R3,1722,1,dark_veto
R3,1724,1,dark_veto
R3,1727,1,dark_veto
R3,1729,1,dark_veto
R3,1730,1,dark_veto
R3,1732,1,dark_veto
R3,1733,1,dark_veto
R3,1736,1,dark_veto
R3,1743,2,jb25
R3,1744,1,dark_veto
R3,1745,1,dark_veto
R3,1748,1,dark_veto
R3,1749,1,dark_veto
R3,1750,1,dark_veto
R3,1751,1,dark_veto
R3,1758,1,dark_veto
R3,1759,1,dark_veto
R3,1763,1,dark_veto
R3,1765,1,dark_veto
R3,1771,1,dark_veto
R3,1772,1,dark_veto
R3,1775,2,jb25
R3,1776,1,dark_veto
R3,1780,1,both
R3,1786,1,dark_veto
R3,1790,1,dark_veto
R3,1791,1,dark_veto
R3,1795,1,dark_veto
R3,1799,1,dark_veto
R3,1801,1,dark_veto
R3,1802,1,dark_veto
R3,1804,1,dark_veto
R3,1808,1,dark_veto
R3,1817,1,dark_veto
R3,1818,1,dark_veto
R3,1820,1,dark_veto
R3,1821,1,dark_veto
R3,1824,1,dark_veto
R3,1828,1,dark_veto
R3,1837,1,dark_veto
R3,1838,1,dark_veto
R3,1840,1,dark_veto
R3,1841,1,dark_veto
R3,1843,1,dark_veto
R3,1849,1,dark_veto
R3,1850,1,dark_veto
R3,1857,1,dark_veto
R3,1859,1,dark_veto
R3,1860,1,dark_veto
R3,1862,1,dark_veto
R3,1863,1,dark_veto
R3,1864,1,both
R3,1871,1,dark_veto
R3,1872,1,dark_veto
R3,1877,1,both
R3,1880,1,dark_veto
R3,1881,1,dark_veto
R3,1882,1,dark_veto
R3,1883,1,dark_veto
R3,1884,1,dark_veto
R3,1885,1,dark_veto
R3,1888,1,dark_veto
R3,1894,1,dark_veto
R3,1897,1,dark_veto
R3,1900,1,dark_veto
R3,1906,1,dark_veto
R3,1917,1,dark_veto
R3,1925,1,dark_veto
R3,1927,1,dark_veto
R3,1928,1,dark_veto
R3,1931,1,dark_veto
R3,1941,1,dark_veto
R3,1948,1,dark_veto
R3,1952,1,dark_veto
R3,1954,1,dark_veto
R3,1957,1,dark_veto
R3,1961,1,dark_veto
R3,1973,1,dark_veto
R3,1976,1,dark_veto
R3,1980,1,dark_veto
R3,1982,1,dark_veto
R3,1985,1,dark_veto
R3,1991,1,dark_veto
R3,1998,1,dark_veto
R3,1999,1,dark_veto
R3,2003,1,dark_veto
R3,2005,1,dark_veto
R3,2006,1,dark_veto
R3,2007,1,dark_veto
R3,2008,1,dark_veto
R3,2012,1,dark_veto
R3,2020,1,dark_veto
R3,2023,1,dark_veto
R3,2024,1,dark_veto
R3,2025,1,dark_veto
R3,2026,1,dark_veto
R3,2027,1,dark_veto
R3,2031,1,dark_veto
R3,2035,1,dark_veto
R3,2036,1,dark_veto
R3,2054,1,dark_veto
R3,2056,1,dark_veto
R3,2058,1,dark_veto
R3,2059,1,dark_veto
R3,2070,1,dark_veto
R3,2077,1,dark_veto
R3,2081,1,dark_veto
R3,2084,1,dark_veto
R3,2091,1,both
